entry_time,exit_time,type,entry_price,exit_price,units
2021-02-21,2021-02-22,short,1935.60107421875,1781.992919921875,51.663538180439446
2021-07-09,2021-07-10,long,2146.6923828125,2111.403564453125,3.646542404618576e-18
2021-07-08,2021-07-12,long,2120.0263671875,2036.7210693359375,-3.69240917224251e-15
2021-07-04,2021-07-13,long,2321.72412109375,1940.083984375,3.3716343524532823e-12
2021-07-12,2021-07-13,long,2036.7210693359375,1940.083984375,1.5080772314226537e-16
2021-07-13,2021-07-14,long,1940.083984375,1994.331298828125,-6.625894140624998e-13
2021-07-15,2021-07-16,long,1911.1756591796875,1880.3829345703125,-1.8115694036247706e-14
2021-07-21,2021-07-31,long,1990.9708251953125,2536.2099609375,2.972901521153458e-16
2021-07-02,2021-08-07,long,2150.040283203125,3157.23876953125,-3.640864250197651e-09
2021-05-25,2021-08-31,short,2706.62890625,3433.732666015625,2.8921603495488757e-06
2021-08-28,2021-08-31,short,3244.4033203125,3433.732666015625,-1.1291462144942076e-09
2021-08-29,2021-08-31,short,3227.002685546875,3433.732666015625,1.1352347935224806e-12
2021-08-30,2021-08-31,short,3224.374267578125,3433.732666015625,-1.136160204558057e-15
2021-05-22,2021-09-03,short,2295.70556640625,3940.61474609375,-0.003409847028359664
2021-09-14,2021-09-15,short,3429.169677734375,3615.28271484375,-1.6333922586386907e-12
2021-09-16,2021-09-17,short,3571.294921875,3398.538818359375,8.660521867371497e-14
2021-09-18,2021-09-20,short,3432.018310546875,2958.993408203125,4.264932305118663e-15
2021-09-19,2021-10-14,short,3329.447998046875,3786.01416015625,-4.396322084921197e-18
2021-09-13,2021-10-16,short,3285.51171875,3830.382080078125,1.704811817655265e-09
2021-09-09,2021-10-20,short,3427.340087890625,4155.9921875,0.0016342641995055521
2021-09-11,2021-10-20,short,3270.278076171875,4155.9921875,-1.712753189394369e-06
2021-05-18,2021-10-21,short,3380.070068359375,4054.32275390625,2.3159297426631937
2021-11-17,2022-01-08,short,4287.59375,3091.97265625,-0.3641082906573343
2022-02-11,2022-02-12,long,2927.383544921875,2917.36279296875,1.4802948164645845e-16
2022-02-12,2022-02-13,long,2917.36279296875,2883.46337890625,-6.564910006950834e-19
2022-02-07,2022-02-20,long,3142.470703125,2628.6484375,-1.378975684019034e-07
2022-02-08,2022-02-20,long,3122.608642578125,2628.6484375,1.3877469716390033e-10
2022-02-09,2022-02-20,long,3239.45703125,2628.6484375,-1.3376904356343502e-13
2022-02-04,2022-02-24,long,2983.5869140625,2598.067138671875,-0.14524097377309475
2022-02-05,2022-02-24,long,3014.648193359375,2598.067138671875,0.00014374449054775626
2022-04-19,2022-04-20,short,3104.1064453125,3077.745849609375,1.8001162224530224e-14
2022-04-20,2022-04-21,short,3077.745849609375,2987.480712890625,1.358686957847458e-16
2022-04-15,2022-05-08,short,3040.91650390625,2517.4599609375,-1.837522457867395e-05
2022-04-16,2022-05-08,short,3062.310302734375,2517.4599609375,1.8246852265225915e-08
2022-04-17,2022-05-08,short,2993.4033203125,2517.4599609375,-1.866688772111296e-11
2022-04-12,2022-05-09,short,3030.37646484375,2245.430419921875,0.01843913597288134
2022-04-23,2022-05-09,short,2938.114013671875,2245.430419921875,4.0276765383502114e-18
2022-06-03,2022-06-06,long,1775.07861328125,1859.2896728515625,-8.140289634952879e-06
2022-06-06,2022-06-07,long,1859.2896728515625,1814.04833984375,-3.6055019758604606e-07
2022-05-31,2022-06-10,long,1942.3280029296875,1665.042236328125,0.007439348047870867
2022-06-08,2022-06-10,long,1793.572265625,1665.042236328125,9.459238062243444e-09
2022-09-03,2022-09-06,short,1556.8726806640625,1561.74853515625,-1.3236559150170372e-21
2022-08-27,2022-09-09,short,1491.39501953125,1719.08544921875,1.3817692198926085e-12
2022-08-28,2022-09-09,short,1430.54736328125,1719.08544921875,-1.4405421208582974e-15
2022-09-01,2022-09-09,short,1586.1767578125,1719.08544921875,1.2992018213224994e-18
2022-08-25,2022-09-18,short,1696.45703125,1335.3291015625,-1.2147456108398955e-09
2022-08-23,2022-11-09,short,1662.7698974609375,1100.1697998046875,1.2393559300274917e-06
2022-08-21,2023-04-13,short,1619.3189697265625,2012.6346435546875,-0.0012726113700980092
